abafa,adj,-1
abafad*,adj,-1
abafada,adj,-1
abafadas,adj,-1
abafado,adj,-1
abafados,adj,-1
abafai,adj,-1
abafais,adj,-1
abafam,adj,-1
abafamos,adj,-1
abafando,adj,-1
abafar,adj,-1
abafara,adj,-1
abafaram,adj,-1
abafaras,adj,-1
abafardes,adj,-1
abafarei,adj,-1
abafareis,adj,-1
abafarem,adj,-1
abafaremos,adj,-1
abafares,adj,-1
abafaria,adj,-1
abafariam,adj,-1
abafarias,adj,-1
abafarmos,adj,-1
abafará,adj,-1
abafarás,adj,-1
abafarão,adj,-1
abafaríamos,adj,-1
abafaríeis,adj,-1
abafas,adj,-1
abafasse,adj,-1
abafassem,adj,-1
abafasses,adj,-1
abafaste,adj,-1
abafastes,adj,-1
abafava,adj,-1
abafavam,adj,-1
abafavas,adj,-1
abafe,adj,-1
abafei,adj,-1
abafeis,adj,-1
abafem,adj,-1
abafemos,adj,-1
abafes,adj,-1
abafo,adj,-1
abafou,adj,-1
abafáramos,adj,-1
abafáreis,adj,-1
abafásseis,adj,-1
abafássemos,adj,-1
abafávamos,adj,-1
abafáveis,adj,-1
abaixa,adj,-1
abaixad*,adj,-1
abaixada,adj,-1
abaixadas,adj,-1
abaixado,adj,-1
abaixados,adj,-1
abaixai,adj,-1
abaixais,adj,-1
abaixam,adj,-1
abaixamos,adj,-1
abaixando,adj,-1
abaixar,adj,-1
abaixara,adj,-1
abaixaram,adj,-1
abaixaras,adj,-1
abaixardes,adj,-1
abaixarei,adj,-1
abaixareis,adj,-1
abaixarem,adj,-1
abaixaremos,adj,-1
abaixares,adj,-1
abaixaria,adj,-1
abaixariam,adj,-1
abaixarias,adj,-1
abaixarmos,adj,-1
abaixará,adj,-1
abaixarás,adj,-1
abaixarão,adj,-1
abaixaríamos,adj,-1
abaixaríeis,adj,-1
abaixas,adj,-1
abaixasse,adj,-1
abaixassem,adj,-1
abaixasses,adj,-1
abaixaste,adj,-1
abaixastes,adj,-1
abaixava,adj,-1
abaixavam,adj,-1
abaixavas,adj,-1
abaixe,adj,-1
abaixei,adj,-1
abaixeis,adj,-1
abaixem,adj,-1
abaixemos,adj,-1
abaixes,adj,-1
abaixo,adj,-1
abaixou,adj,-1
abaixáramos,adj,-1
abaixáreis,adj,-1
abaixásseis,adj,-1
abaixássemos,adj,-1
abaixávamos,adj,-1
abaixáveis,adj,-1
abal*,adj,-1
abala,adj,-1
abalad*,adj,-1
abalada,adj,-1
abaladas,adj,-1
abalado,adj,-1
abalados,adj,-1
abalai,adj,-1
abalais,adj,-1
abalam,adj,-1
abalamos,adj,-1
abalando,adj,-1
abalar,adj,-1
abalara,adj,-1
abalaram,adj,-1
abalaras,adj,-1
abalardes,adj,-1
abalarei,adj,-1
abalareis,adj,-1
abalarem,adj,-1
abalaremos,adj,-1
abalares,adj,-1
abalaria,adj,-1
abalariam,adj,-1
abalarias,adj,-1
abalarmos,adj,-1
abalará,adj,-1
abalarás,adj,-1
abalarão,adj,-1
abalaríamos,adj,-1
abalaríeis,adj,-1
abalas,adj,-1
abalasse,adj,-1
abalassem,adj,-1
abalasses,adj,-1
abalaste,adj,-1
abalastes,adj,-1
abalava,adj,-1
abalavam,adj,-1
abalavas,adj,-1
abale,adj,-1
abalei,adj,-1
abaleis,adj,-1
abalem,adj,-1
abalemos,adj,-1
abales,adj,-1
abalo,adj,-1
abalou,adj,-1
abaláramos,adj,-1
abaláreis,adj,-1
abalásseis,adj,-1
abalássemos,adj,-1
abalávamos,adj,-1
abaláveis,adj,-1
abandon*,adj,-1
abandonad*,adj,-1
abandonadíssim*,adj,-1
abandono,adj,-1
abastad*,adj,1
abastadíssim*,adj,1
abastarda,adj,-1
abastardad*,adj,-1
abastardada,adj,-1
abastardadas,adj,-1
abastardado,adj,-1
abastardados,adj,-1
abastardai,adj,-1
abastardais,adj,-1
abastardam,adj,-1
